,,,,,Cart link:,https://www.mouser.com/ProjectManager/ProjectDetail.aspx?AccessID=06e5e0c692
Reference Designators,Qty,Value/Part Number,Package,Description,Comment,Source
"C1, C3",2,47uF,0805,Capacitor (MLCC),"X5R or better, 10V or higher",https://www.mouser.com/ProductDetail/Murata-Electronics/GRM21BR61A476ME15L?qs=hNud%2FORuBR2%2FEB7WUpdltg%3D%3D
C4,1,0.1uF,0603,Capacitor (MLCC),C2 is removed on v1.3,"	https://www.mouser.com/ProductDetail/KEMET/C0603C104M3RACTU?qs=7q2aiX3Gdlh4qBRaMcnohQ%3D%3D"
C5,1,22uF,0805,Capacitor (MLCC),"X5R or better, 16V or higher",https://www.mouser.com/ProductDetail/Murata-Electronics/GRM21BR61E226ME44K?qs=hNud%2FORuBR25jDsUehWlrQ%3D%3D
D1,1,BAT42,SOD323,Schottky Diode,Only used on v1.3,https://www.mouser.com/ProductDetail/78-BAT42WS-E3-18
L1,1,2.2uH,1212,Inductor,Saturation current higher than 1 A preferred,https://www.mouser.com/ProductDetail/810-VLS3012HBX2R2M-N
Q1,1,MMBT3906,SOT23,PNP BJT,,https://www.mouser.com/ProductDetail/Micro-Commercial-Components-MCC/MMBT3906HE3-TP?qs=HBWAp0VN4Rh%2Ft2ZPx%252BV99A%3D%3D
"Q2, Q4",2,2N7002,SOT23,N-channel MOSFET,,https://www.mouser.com/ProductDetail/Nexperia/2N7002NXBKR?qs=%252B6g0mu59x7J2ddJstTJGkQ%3D%3D
Q3,1,MMBT3904,SOT23,NPN BJT,,https://www.mouser.com/ProductDetail/Nexperia/MMBT3904VL?qs=cnAQGvEIVkKbCwIpHJoHxQ%3D%3D
"R1, R4, R8",3,100k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-07100KL?qs=e1ok2LiJcmaihem8Va5%2Fsw%3D%3D
"R2, R3, R5",3,10k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-0710KL?qs=grNVn54RoB%252B3GtjbJj3wJQ%3D%3D
R6,1,47k,0603,Resistor,,https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-0747KL?qs=gt6vzsuosg3jXzmCiDCCdg%3D%3D
U1,1,TPS61202,VSON-10,Boost Converter,,https://www.mouser.com/ProductDetail/Texas-Instruments/TPS61202DRCR?qs=KS%252B%252BetD%2FUt9ba9GgZBolfg%3D%3D
U2,1,TPS3840DL20,SOT23-5,Supervisory IC,,https://www.mouser.com/ProductDetail/Texas-Instruments/TPS3840DL20DBVR?qs=T3oQrply3y%2FZsfSrLIG7Ww%3D%3D
--,1,10129378-904001BLF,--,1x4 Header Pins,,https://www.mouser.com/ProductDetail/649-1012937890401BLF
--,1,10129378-903001BLF,--,1x3 Header Pins,,https://www.mouser.com/ProductDetail/649-1012937890301BLF
